Ticker,Ticker + Name,Name
NSIT,NSIT | Insight Enterprises Inc. Common Stock,Insight Enterprises Inc. Common Stock
KEX,KEX | Kirby Corporation Common Stock,Kirby Corporation Common Stock
TSEM,TSEM | Tower Semiconductor Ltd. Ordinary Shares,Tower Semiconductor Ltd. Ordinary Shares
ATRC,ATRC | AtriCure Inc. Common Stock,AtriCure Inc. Common Stock
DDD,DDD | 3D Systems Corporation Common Stock,3D Systems Corporation Common Stock
FROG,FROG | JFrog Ltd. Ordinary Shares,JFrog Ltd. Ordinary Shares
LAUR,LAUR | Laureate Education Inc. Class A Common Stock,Laureate Education Inc. Class A Common Stock
BXS,BXS | BancorpSouth Bank Common Stock,BancorpSouth Bank Common Stock
AVIR,AVIR | Atea Pharmaceuticals Inc. Common Stock,Atea Pharmaceuticals Inc. Common Stock
LTH,LTH | Life Time Group Holdings Inc. Common Stock,Life Time Group Holdings Inc. Common Stock
API,API | Agora Inc. American Depositary Shares,Agora Inc. American Depositary Shares
CWH,CWH | Camping World Holdings Inc. Class A Commom Stock,Camping World Holdings Inc. Class A Commom Stock
PHR,PHR | Phreesia Inc. Common Stock,Phreesia Inc. Common Stock
CYRX,CYRX | CryoPort Inc. Common Stock,CryoPort Inc. Common Stock
AMRC,AMRC | Ameresco Inc. Class A Common Stock,Ameresco Inc. Class A Common Stock
PCI,PCI | PIMCO Dynamic Credit and Mortgage Income Fund Common Shares of Beneficial Interest,PIMCO Dynamic Credit and Mortgage Income Fund Common Shares of Beneficial Interest
MMYT,MMYT | MakeMyTrip Limited Ordinary Shares,MakeMyTrip Limited Ordinary Shares
FHI,FHI | Federated Hermes Inc. Common Stock,Federated Hermes Inc. Common Stock
AX,AX | Axos Financial Inc. Common Stock,Axos Financial Inc. Common Stock
CTKB,CTKB | Cytek Biosciences Inc. Common Stock,Cytek Biosciences Inc. Common Stock
RXRX,RXRX | Recursion Pharmaceuticals Inc. Class A Common Stock,Recursion Pharmaceuticals Inc. Class A Common Stock
DORM,DORM | Dorman Products Inc. Common Stock,Dorman Products Inc. Common Stock
VCYT,VCYT | Veracyte Inc. Common Stock,Veracyte Inc. Common Stock
ACVA,ACVA | ACV Auctions Inc. Class A Common Stock,ACV Auctions Inc. Class A Common Stock
ITCI,ITCI | Intra-Cellular Therapies Inc. Common Stock,Intra-Cellular Therapies Inc. Common Stock
BSTZ,BSTZ | BlackRock Science and Technology Trust II Common Shares of Beneficial Interest,BlackRock Science and Technology Trust II Common Shares of Beneficial Interest
WDFC,WDFC | WD-40 Company Common Stock,WD-40 Company Common Stock
OFC,OFC | Corporate Office Properties Trust Common Stock,Corporate Office Properties Trust Common Stock
CATY,CATY | Cathay General Bancorp Common Stock,Cathay General Bancorp Common Stock
COOP,COOP | Mr. Cooper Group Inc. Common Stock,Mr. Cooper Group Inc. Common Stock
PSEC,PSEC | Prospect Capital Corporation Common Stock,Prospect Capital Corporation Common Stock
WHD,WHD | Cactus Inc. Class A Common Stock,Cactus Inc. Class A Common Stock
NKTR,NKTR | Nektar Therapeutics  Common Stock,Nektar Therapeutics  Common Stock
NNI,NNI | Nelnet Inc. Common Stock,Nelnet Inc. Common Stock
LYEL,LYEL | Lyell Immunopharma Inc. Common Stock,Lyell Immunopharma Inc. Common Stock
EXG,EXG | Eaton Vance Tax-Managed Global Diversified Equity Income Fund Eaton Vance Tax-Managed Global Diversified Equity Income Fund Common Shares of Beneficial Interest,Eaton Vance Tax-Managed Global Diversified Equity Income Fund Eaton Vance Tax-Managed Global Diversified Equity Income Fund Common Shares of Beneficial Interest
AMEH,AMEH | Apollo Medical Holdings Inc. Common Stock,Apollo Medical Holdings Inc. Common Stock
AGI,AGI | Alamos Gold Inc. Class A Common Shares,Alamos Gold Inc. Class A Common Shares
SHAK,SHAK | Shake Shack Inc. Class A Common Stock,Shake Shack Inc. Class A Common Stock
CBRL,CBRL | Cracker Barrel Old Country Store Inc Common Stock,Cracker Barrel Old Country Store Inc Common Stock
WISH,WISH | ContextLogic Inc. Class A Common Stock,ContextLogic Inc. Class A Common Stock
RLAY,RLAY | Relay Therapeutics Inc. Common Stock,Relay Therapeutics Inc. Common Stock
ENIC,ENIC | Enel Chile S.A. American Depositary Shares (Each representing 50 shares of Common Stock),Enel Chile S.A. American Depositary Shares (Each representing 50 shares of Common Stock)
FA,FA | First Advantage Corporation Common Stock,First Advantage Corporation Common Stock
AG,AG | First Majestic Silver Corp. Ordinary Shares (Canada),First Majestic Silver Corp. Ordinary Shares (Canada)
CWT,CWT | California Water Service Group Common Stock,California Water Service Group Common Stock
IHRT,IHRT | iHeartMedia Inc. Class A Common Stock,iHeartMedia Inc. Class A Common Stock
TAL,TAL | TAL Education Group American Depositary Shares,TAL Education Group American Depositary Shares
IBTX,IBTX | Independent Bank Group Inc Common Stock,Independent Bank Group Inc Common Stock
PDCO,PDCO | Patterson Companies Inc. Common Stock,Patterson Companies Inc. Common Stock
RXT,RXT | Rackspace Technology Inc. Common Stock,Rackspace Technology Inc. Common Stock
QFIN,QFIN | 360 DigiTech Inc. American Depositary Shares,360 DigiTech Inc. American Depositary Shares
ZIP,ZIP | ZipRecruiter Inc. Class A Common Stock,ZipRecruiter Inc. Class A Common Stock
CRVL,CRVL | CorVel Corp. Common Stock,CorVel Corp. Common Stock
MPLN,MPLN | MultiPlan Corporation Class A Common Stock,MultiPlan Corporation Class A Common Stock
VC,VC | Visteon Corporation Common Stock,Visteon Corporation Common Stock
BCO,BCO | Brinks Company (The) Common Stock,Brinks Company (The) Common Stock
KMT,KMT | Kennametal Inc. Common Stock,Kennametal Inc. Common Stock
CYTK,CYTK | Cytokinetics Incorporated Common Stock,Cytokinetics Incorporated Common Stock
NGVT,NGVT | Ingevity Corporation Common Stock ,Ingevity Corporation Common Stock 
MCY,MCY | Mercury General Corporation Common Stock,Mercury General Corporation Common Stock
LOB,LOB | Live Oak Bancshares Inc. Common Stock,Live Oak Bancshares Inc. Common Stock
SWI,SWI | SolarWinds Corporation Common Stock,SolarWinds Corporation Common Stock
VRM,VRM | Vroom Inc. Common Stock,Vroom Inc. Common Stock
INSM,INSM | Insmed Inc. Common Stock,Insmed Inc. Common Stock
LAC,LAC | Lithium Americas Corp. Common Shares,Lithium Americas Corp. Common Shares
KLIC,KLIC | Kulicke and Soffa Industries Inc. Common Stock,Kulicke and Soffa Industries Inc. Common Stock
TAC,TAC | TransAlta Corporation Ordinary Shares,TransAlta Corporation Ordinary Shares
TCBI,TCBI | Texas Capital Bancshares Inc. Common Stock,Texas Capital Bancshares Inc. Common Stock
SEMR,SEMR | SEMrush Holdings Inc. Class A Common Stock,SEMrush Holdings Inc. Class A Common Stock
YOU,YOU | Clear Secure Inc. Class A Common Stock,Clear Secure Inc. Class A Common Stock
FLOW,FLOW | SPX FLOW Inc. Common Stock,SPX FLOW Inc. Common Stock
VRNT,VRNT | Verint Systems Inc. Common Stock,Verint Systems Inc. Common Stock
ABM,ABM | ABM Industries Incorporated Common Stock,ABM Industries Incorporated Common Stock
ENVX,ENVX | Enovix Corporation Common Stock,Enovix Corporation Common Stock
BMI,BMI | Badger Meter Inc. Common Stock,Badger Meter Inc. Common Stock
TEX,TEX | Terex Corporation Common Stock,Terex Corporation Common Stock
IFS,IFS | Intercorp Financial Services Inc. Common Shares,Intercorp Financial Services Inc. Common Shares
APLS,APLS | Apellis Pharmaceuticals Inc. Common Stock,Apellis Pharmaceuticals Inc. Common Stock
CBT,CBT | Cabot Corporation Common Stock,Cabot Corporation Common Stock
UGP,UGP | Ultrapar Participacoes S.A. (New) American Depositary Shares (Each representing one Common Share),Ultrapar Participacoes S.A. (New) American Depositary Shares (Each representing one Common Share)
SWTX,SWTX | SpringWorks Therapeutics Inc. Common Stock,SpringWorks Therapeutics Inc. Common Stock
WERN,WERN | Werner Enterprises Inc. Common Stock,Werner Enterprises Inc. Common Stock
HL,HL | Hecla Mining Company Common Stock,Hecla Mining Company Common Stock
LILAK,LILAK | Liberty Latin America Ltd. Class C Common Stock,Liberty Latin America Ltd. Class C Common Stock
PEB,PEB | Pebblebrook Hotel Trust Common Shares of Beneficial Interest,Pebblebrook Hotel Trust Common Shares of Beneficial Interest
SGFY,SGFY | Signify Health Inc. Class A Common Stock,Signify Health Inc. Class A Common Stock
URBN,URBN | Urban Outfitters Inc. Common Stock,Urban Outfitters Inc. Common Stock
LILA,LILA | Liberty Latin America Ltd. Class A Common Stock,Liberty Latin America Ltd. Class A Common Stock
FOLD,FOLD | Amicus Therapeutics Inc. Common Stock,Amicus Therapeutics Inc. Common Stock
AEL,AEL | American Equity Investment Life Holding Company Common Stock,American Equity Investment Life Holding Company Common Stock
CCU,CCU | Compania Cervecerias Unidas S.A. Common Stock,Compania Cervecerias Unidas S.A. Common Stock
BLND,BLND | Blend Labs Inc. Class A Common Stock,Blend Labs Inc. Class A Common Stock
CPG,CPG | Crescent Point Energy Corporation Ordinary Shares (Canada),Crescent Point Energy Corporation Ordinary Shares (Canada)
NWE,NWE | NorthWestern Corporation Common Stock,NorthWestern Corporation Common Stock
ITGR,ITGR | Integer Holdings Corporation Common Stock,Integer Holdings Corporation Common Stock
UCBI,UCBI | United Community Banks Inc. Common Stock,United Community Banks Inc. Common Stock
RSKD,RSKD | Riskified Ltd. Class A Ordinary Shares,Riskified Ltd. Class A Ordinary Shares
NVMI,NVMI | Nova Ltd. Ordinary Shares,Nova Ltd. Ordinary Shares
EAF,EAF | GrafTech International Ltd. Common Stock,GrafTech International Ltd. Common Stock
PBH,PBH | Prestige Consumer Healthcare Inc. Common Stock,Prestige Consumer Healthcare Inc. Common Stock
RPAI,RPAI | Retail Properties of America Inc. Class A Common Stock,Retail Properties of America Inc. Class A Common Stock
MAIN,MAIN | Main Street Capital Corporation Common Stock,Main Street Capital Corporation Common Stock
YELP,YELP | Yelp Inc. Common Stock,Yelp Inc. Common Stock
NUVA,NUVA | NuVasive Inc. Common Stock,NuVasive Inc. Common Stock
KYMR,KYMR | Kymera Therapeutics Inc. Common Stock,Kymera Therapeutics Inc. Common Stock
FIX,FIX | Comfort Systems USA Inc. Common Stock,Comfort Systems USA Inc. Common Stock
AXNX,AXNX | Axonics Inc. Common Stock,Axonics Inc. Common Stock
TRN,TRN | Trinity Industries Inc. Common Stock,Trinity Industries Inc. Common Stock
